|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total population_x|Departamento|Municipio|REGION|DP|DPNOM|DPMP|MPIO|ÁREA GEOGRÁFICA|Tasa_de_aprovechamiento|Ton_percapita_apro|kg_percapita_apro|Ton_percapita_disp|kg_percapita_disp
63|2019-06|BOGOTA, D.C.-BOGOTA, D.C.|175822.32|88290.90660000002|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|33.42918782849022|0.011628132046494669|11.628132046494668|0.023156236949106603|11.628132046494668
64|2019-06|BOGOTA, D.C.-BOGOTA, D.C.|175822.32|88290.90660000002|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|33.42918782849022|0.011628132046494669|11.628132046494668|0.023156236949106603|11.628132046494668
65|2019-06|BOGOTA, D.C.-BOGOTA, D.C.|175822.32|88290.90660000002|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|33.42918782849022|0.011628132046494669|11.628132046494668|0.023156236949106603|11.628132046494668
66|2019-05|BOGOTA, D.C.-BOGOTA, D.C.|149663.16|87685.6137|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|36.94378206934885|0.01154841346573648|11.548413465736479|0.019711010499190624|11.548413465736479
67|2019-05|BOGOTA, D.C.-BOGOTA, D.C.|149663.16|87685.6137|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|36.94378206934885|0.01154841346573648|11.548413465736479|0.019711010499190624|11.548413465736479
68|2019-05|BOGOTA, D.C.-BOGOTA, D.C.|149663.16|87685.6137|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|36.94378206934885|0.01154841346573648|11.548413465736479|0.019711010499190624|11.548413465736479
69|2020-03|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|86391.52|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|32.77746925738807|0.011155994578997425|11.155994578997426|0.02287956347886836|11.155994578997426
70|2020-03|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|86391.52|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|32.77746925738807|0.011155994578997425|11.155994578997426|0.02287956347886836|11.155994578997426
71|2020-03|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|86391.52|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|32.77746925738807|0.011155994578997425|11.155994578997426|0.02287956347886836|11.155994578997426
72|2019-04|BOGOTA, D.C.-BOGOTA, D.C.|174309.16|86277.12274700012|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|33.108850488022604|0.011362911703227951|11.362911703227951|0.022956950012715877|11.362911703227951
73|2019-04|BOGOTA, D.C.-BOGOTA, D.C.|174309.16|86277.12274700012|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|33.108850488022604|0.011362911703227951|11.362911703227951|0.022956950012715877|11.362911703227951
74|2019-04|BOGOTA, D.C.-BOGOTA, D.C.|174309.16|86277.12274700012|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|33.108850488022604|0.011362911703227951|11.362911703227951|0.022956950012715877|11.362911703227951
75|2019-09|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|85283.78999999998|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|33.24056685899839|0.011232087309266808|11.232087309266808|0.022558212828849587|11.232087309266808
76|2019-09|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|85283.78999999998|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|33.24056685899839|0.011232087309266808|11.232087309266808|0.022558212828849587|11.232087309266808
