,NOMBRE_DEL_SITIO_DE_DF,MUNICIPIOS
5164,RELLENO SANITARIO EL DIAMANTE,GUAVIARE - CALAMAR
5170,RELLENO SANITARIO ENTRERRIOS,ANTIOQUIA - ENTRERRIOS
5172,Puerta Roja,META - LA MACARENA
5173,La Mapiripana,META - MAPIRIPAN
5174,VEREDA EL BRASIL,META - URIBE
5186,RELLENO SANITARIO DEL MUNICIPIO DE ANGELOPOLIS,ANTIOQUIA - ANGELOPOLIS
5192,EL CAIMO,"ANTIOQUIA - SAN CARLOS , BOGOTA DC - BOGOTA DC"
5196,MICRORELLENO SANITARIO,SANTANDER - SAN MIGUEL
5199,SN,VAUPES - TARAIRA
5203,BOTADERO A CIELO ABIERTO,NARINO - ROBERTO PAYAN
5205,CELDA CORDOBA,VALLE DEL CAUCA - BUENAVENTURA
