COD_MUN;REGION;NOM_MUN;TRASLADO DE RECURSOS DE APROVECHAMIENTO
13268;CARIBE;EL PEÑÓN;SIN APROVECHAMIENTO
13300;CARIBE;HATILLO DE LOBA;SIN APROVECHAMIENTO
13430;CARIBE;MAGANGUÉ;SIN APROVECHAMIENTO
13433;CARIBE;MAHATES;SIN APROVECHAMIENTO
13440;CARIBE;MARGARITA;SIN APROVECHAMIENTO
13442;CARIBE;MARÍA LA BAJA;SIN APROVECHAMIENTO
13458;CARIBE;MONTECRISTO;SIN APROVECHAMIENTO
13468;CARIBE;SANTA CRUZ DE MOMPOX;SIN APROVECHAMIENTO
13473;CARIBE;MORALES;SIN APROVECHAMIENTO
13490;CARIBE;NOROSÍ;SIN APROVECHAMIENTO
13549;CARIBE;PINILLOS;SIN APROVECHAMIENTO
13580;CARIBE;REGIDOR;SIN APROVECHAMIENTO
13600;CARIBE;RÍO VIEJO;SIN APROVECHAMIENTO
13620;CARIBE;SAN CRISTÓBAL;SIN APROVECHAMIENTO
13647;CARIBE;SAN ESTANISLAO;SIN APROVECHAMIENTO
13650;CARIBE;SAN FERNANDO;SIN APROVECHAMIENTO
13654;CARIBE;SAN JACINTO;SIN APROVECHAMIENTO
13655;CARIBE;SAN JACINTO DEL CAUCA;SIN APROVECHAMIENTO
13657;CARIBE;SAN JUAN NEPOMUCENO;SIN APROVECHAMIENTO
13667;CARIBE;SAN MARTÍN DE LOBA;SIN APROVECHAMIENTO
13670;CARIBE;SAN PABLO;SIN APROVECHAMIENTO
13673;CARIBE;SANTA CATALINA;SIN APROVECHAMIENTO
13683;CARIBE;SANTA ROSA;SIN APROVECHAMIENTO
13688;CARIBE;SANTA ROSA DEL SUR;SIN APROVECHAMIENTO
13744;CARIBE;SIMITÍ;SIN APROVECHAMIENTO
13760;CARIBE;SOPLAVIENTO;SIN APROVECHAMIENTO
13780;CARIBE;TALAIGUA NUEVO;SIN APROVECHAMIENTO
13810;CARIBE;TIQUISIO;SIN APROVECHAMIENTO
13838;CARIBE;TURBANÁ;SIN APROVECHAMIENTO
13873;CARIBE;VILLANUEVA;SIN APROVECHAMIENTO
13894;CARIBE;ZAMBRANO;SIN APROVECHAMIENTO
15022;CENTRO ORIENTE;ALMEIDA;SIN APROVECHAMIENTO
15047;CENTRO ORIENTE;AQUITANIA;SIN APROVECHAMIENTO
15051;CENTRO ORIENTE;ARCABUCO;SIN APROVECHAMIENTO
15090;CENTRO ORIENTE;BERBEO;SIN APROVECHAMIENTO
15092;CENTRO ORIENTE;BETÉITIVA;SIN APROVECHAMIENTO
15097;CENTRO ORIENTE;BOAVITA;SIN APROVECHAMIENTO
15104;CENTRO ORIENTE;BOYACÁ;SIN APROVECHAMIENTO
15106;CENTRO ORIENTE;BRICEÑO;SIN APROVECHAMIENTO
15109;CENTRO ORIENTE;BUENAVISTA;SIN APROVECHAMIENTO
15114;CENTRO ORIENTE;BUSBANZÁ;SIN APROVECHAMIENTO
