ID EMPRESA,NOMBRE EMPRESA,AÑO CARGUE,PERIODO CARGUE,NUAP,DEPARTAMENTO,MUNICIPIO,NUMERO DE SUSCRIPTORES ATENDIDOS,NUMERO DE SUSCRIPTORES PREDIO DESOCUPADO,COSTO DE RECOLECCION  Y TRANSPORTE,COSTO DE DISPOSICION FINAL,TONELADAS DE RESIDUOS NO APROVECHABLES DEL ÁREA DE PRESTACIÓN ,TONELADAS MENSUALES DE RECHAZO DEL APROVECHAMIENTO DEL ÁREA DE PRESTACIÓN. ,TONELADAS MENSUALES DE BARRIDO Y LIMPIEZA DEL ÁREA DE PRESTACIÓN,TONELADAS MENSUALES DE LIMPIEZA URBANA DEL ÁREA DE PRESTACIÓN,TONELADAS MENSUALES DE RESIDUOS NO APROVECHABLES DEL ÁREA DE PRESTACIÓN-QNAZ,"TONELADAS MENSUALES EFECTIVAMENTE APROVECHADAS NO AFORADAS DE LA PERSONA PRESTADORA J DE RTA, REPORTADAS POR LAS ECA-QAJ. "
2239,ASOCIACION DE SOCIOS SUSCRIPTORES DEL SERVICIO DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL BARRIO CARTAGENA FACATATIVA,2016,JULIO,437325269,CUNDINAMARCA,FACATATIVA,117,0,4150.54,659.74,161.11,0,0.33,11.16,,
22911,VEOLIA ASEO SANTANDER Y CESAR S.A E.S.P,2016,JULIO,372568001,SANTANDER,BUCARAMANGA,875,484,101886,25020.3,122.08,0,5.35,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,JULIO,441205631,ANTIOQUIA,SABANETA,5,0,115600.62,26669.37,181.13,0,0,0,,
20681,EMPRESA DE ASEO DE CAREPA S.A.S . E.S.P.,2016,JULIO,314205147,ANTIOQUIA,CAREPA,11928,165,106108.07,36758,1077.32,0,8.12,0,,
22087,FUTURASEO S.A.S E.S.P,2016,JULIO,346205837,ANTIOQUIA,TURBO,25647,93,80027,34995,2493.65,0,74.61,0,,
1962,ASEO EL CERRITO S.A.  E.S.P.,2016,JULIO,166276248,VALLE DEL CAUCA,EL CERRITO,9893,214,112969,30757,698,0,16,0,,
2866,VEOLIA ASEO NORTE DE SANTANDER SAS ESP,2016,JULIO,366154001,NORTE DE SANTANDER,CUCUTA,80971,4701,75931,25783,11667,0,435,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,JULIO,440805129,ANTIOQUIA,CALDAS,1,0,115600.62,26669.37,10.93,0,0,0,,
23450,URBASER LA TEBAIDA S.A. E.S.P.,2016,AGOSTO,358363401,QUINDIO,LA TEBAIDA,8763,72,90035.03,37195.21,657.83,0,39.47,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,AGOSTO,441305308,ANTIOQUIA,GIRARDOTA,1,0,115974.44,26557.23,61.31,0,0,0,,
22333,VEOLIA ASEO CALI  S.A   E. S. P.,2016,AGOSTO,404376001,VALLE DEL CAUCA,CALI,220527,273,108782.68,27804.33,12934.3,0,776.05,0,,
1056,"EMPRESA MUNICIPAL DE ASEO, ALCANTARILLADO Y ACUEDUCTO DE FLORIDABLANCA E.S.P",2016,AGOSTO,2368276,SANTANDER,FLORIDABLANCA,20539,73,80805.92,22627.5,1643.28,0,33.28,0,,
2614,CIUDAD LIMPIA BOGOTÁ S.A. E.S.P.,2016,AGOSTO,42311001,"BOGOTA, D.C.","BOGOTA, D.C.",536999,2450,78437.07,16180.48,39414,0,1834,0,,
2866,VEOLIA ASEO NORTE DE SANTANDER SAS ESP,2016,AGOSTO,366254874,NORTE DE SANTANDER,VILLA DEL ROSARIO,21613,2813,96408,27427,1871,0,43,0,,
1896,VEOLIA ASEO PALMIRA S.A.S. E.S.P.,2016,AGOSTO,256276520,VALLE DEL CAUCA,PALMIRA,81246,1246,120722,31109,5554,0,203,58,,
2895,VEOLIA ASEO CUCUTA SA ESP ,2016,AGOSTO,346754001,NORTE DE SANTANDER,CUCUTA,109283,5302,81949,25783,7623,0,216,0,,
2361,ASEO SIDERENSE S.A.S. E.S.P.,2016,AGOSTO,310105380,ANTIOQUIA,LA ESTRELLA,12439,22,134268.62,26557.24,1514.255,0,21.078,0,,
2043,ENVIASEO E.S.P.,2016,SEPTIEMBRE,314105266,ANTIOQUIA,ENVIGADO,79030,81,123635.41,26669,5767.59,0,411.77,0,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,SEPTIEMBRE,440405001,ANTIOQUIA,MEDELLIN,722734,10239,115974.44,26557.23,49819.55,0,1816.72,0,,
21875,"EMPRESA DE ACUEDUCTO, ALCANTARILLADO Y ASEO DE CAMPOALEGRE SOCIEDAD ANONIMA EMPRESA DE SERVICIOS PUBLICOS",2016,SEPTIEMBRE,65041132,HUILA,CAMPOALEGRE,6727,1,126257,33151,431,0,11,2,,
732,EMPRESAS PUBLICAS DE ARMENIA ,2016,SEPTIEMBRE,242463001,QUINDIO,ARMENIA,102087,1473,92451.07,37410.35,5750.62,0,111.34,243.66,,
81,ASEO TECNICO S.A.S. E.S.P.,2016,SEPTIEMBRE,26144430,LA GUAJIRA,MAICAO,21939,378,84376.86,69689.83,2517.3,0,209.91,0,,
2263,CARA LIMPIA S.A. E.S.P.,2016,SEPTIEMBRE,326168307,SANTANDER,GIRON,16638,93,77816.22,25205.44,1685.84,0,68.48,0,,
2239,ASOCIACION DE SOCIOS SUSCRIPTORES DEL SERVICIO DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL BARRIO CARTAGENA FACATATIVA,2016,OCTUBRE,437325269,CUNDINAMARCA,FACATATIVA,122,0,5316,959.19,9.13,0,0.27,8.85,,
111,EMPRESAS VARIAS DE MEDELLIN  S.A. E.S. P.,2016,OCTUBRE,441205631,ANTIOQUIA,SABANETA,5,0,115974.44,26557.23,182.06,0,0,0,,
2173,SERVIASEO ITAGÜÍ S.A.S. E.S.P.,2016,OCTUBRE,310205360,ANTIOQUIA,ITAGUI,79555,148,119952.54,26557.24,7668.098,0,250.048,0,,
2866,VEOLIA ASEO NORTE DE SANTANDER SAS ESP,2016,OCTUBRE,366485001,CASANARE,YOPAL,13585,111,91272,47833,1595,0,63,0,,
27772,TRASH GLOBAL S.A. E.S.P.,2016,OCTUBRE,374525269,CUNDINAMARCA,FACATATIVA,961,72,310816,27594,42.59,0,0,0,,
