DP;DPNOM;DPMP;MPIO;AÑO;ÁREA GEOGRÁFICA;Total
05;Antioquia;05036;Angelópolis;2025;Cabecera Municipal;2.755
05;Antioquia;05036;Angelópolis;2025;Centros Poblados y Rural Disperso;3.474
05;Antioquia;05036;Angelópolis;2025;Total;6.229
05;Antioquia;05036;Angelópolis;2026;Cabecera Municipal;2.799
05;Antioquia;05036;Angelópolis;2026;Centros Poblados y Rural Disperso;3.486
05;Antioquia;05036;Angelópolis;2026;Total;6.285
05;Antioquia;05036;Angelópolis;2027;Cabecera Municipal;2.830
05;Antioquia;05036;Angelópolis;2027;Centros Poblados y Rural Disperso;3.507
05;Antioquia;05036;Angelópolis;2027;Total;6.337
05;Antioquia;05036;Angelópolis;2028;Cabecera Municipal;2.876
05;Antioquia;05036;Angelópolis;2028;Centros Poblados y Rural Disperso;3.523
05;Antioquia;05036;Angelópolis;2028;Total;6.399
