|PERIODO_NUEVO|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total_x|Departamento|Municipio|REGION|Tasa_apro|Ton_percapita_apro|kg_percapita_apro
81|2020-03|ATLANTICO-BARRANQUILLA|33696.0|5637.820000000001|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|14.333263334199426|0.004424422209142634|4.424422209142634
82|2020-11|ANTIOQUIA-MEDELLIN|52094.72|5577.43|2020|2533424|ANTIOQUIA|MEDELLIN|EJE CAFETERO|9.670924354302727|0.002201538313365627|2.201538313365627
83|2020-01|ATLANTICO-BARRANQUILLA|67392.0|5485.32|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|7.526786111234605|0.004304743967039434|4.3047439670394345
84|2019-12|ATLANTICO-BARRANQUILLA|32625.0|5454.81|2019|1243056|ATLANTICO|BARRANQUILLA|CARIBE|14.3246775653555|0.004388225470131676|4.388225470131676
85|2019-10|ATLANTICO-BARRANQUILLA|32625.0|5322.740000000002|2019|1243056|ATLANTICO|BARRANQUILLA|CARIBE|14.02650065590204|0.0042819792511359115|4.281979251135912
86|2020-11|ATLANTICO-BARRANQUILLA|39370.0|5271.09|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|11.807708996352913|0.004136621542083579|4.136621542083579
87|2020-08|ANTIOQUIA-MEDELLIN|52094.72|5235.4|2020|2533424|ANTIOQUIA|MEDELLIN|EJE CAFETERO|9.132023445965226|0.002066531303090205|2.0665313030902053
88|2021-03|ATLANTICO-BARRANQUILLA|41300.0|5123.569999999999|2021|1297082|ATLANTICO|BARRANQUILLA|CARIBE|11.036570431787126|0.003950074089379082|3.9500740893790818
89|2020-05|ATLANTICO-BARRANQUILLA|33696.0|5095.040000000001|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|13.134579531768162|0.003998461840298216|3.9984618402982157
90|2021-01|ATLANTICO-BARRANQUILLA|41300.0|5067.789999999997|2021|1297082|ATLANTICO|BARRANQUILLA|CARIBE|10.929548292036342|0.00390706986913703|3.90706986913703
91|2020-06|ATLANTICO-BARRANQUILLA|33696.0|5040.320000000001|2020|1274250|ATLANTICO|BARRANQUILLA|CARIBE|13.011871029566052|0.003955518932705513|3.9555189327055134
92|2020-10|VALLE DEL CAUCA-CALI|126673.11000000002|5027.679999999999|2020|2252616|VALLE DEL CAUCA|CALI|PACIFICO|3.8175017780834866|0.0022319294544653856|2.2319294544653854
93|2020-12|VALLE DEL CAUCA-CALI|126673.11000000002|4964.74|2020|2252616|VALLE DEL CAUCA|CALI|PACIFICO|3.771514044023052|0.002203988607024011|2.203988607024011
